house_price,rental_agency,city,bedrooms,surface
1160,123Wonen Tilburg,Waalwijk,3,73
1500,Amstel Housing,Amstelveen,4,110
1500,Amstel Housing,Amstelveen,4,93
1500,Amstel Housing,Amstelveen,3,85
1400,Grand Apartments Amsterdam,Amsterdam,4,100
929,Woonstad Rotterdam,Rotterdam,4,73
1750,VERRA Real Estate Rotterdam,Amsterdam,4,87
721,Maasland Relocation,Maastricht,2,19
1300,La Fontaine Makelaardij,Maastricht,3,100
780,Langezaal makelaars,Den Haag,1,30
495,BM Vastgoed,Arnhem,1,22
590,BM Vastgoed,Arnhem,1,30
1325,Brick Brokers,Hilversum,5,111
725,Brick Brokers,Hilversum,2,32
1099,Woonhuis Limburg,Maastricht,4,90
1150,Woonhuis Limburg,Landgraaf,4,105
2900,Rent a Stone,Den Haag,6,149
626,Siebbeles Vastgoed,Arnhem,1,36
425,Maxx Zwolle,Zwolle,1,20
1600,Van Huis Uit Makelaars,Amsterdam,3,95
1950,Grand Relocation,Amsterdam,3,77
1300,Grand Relocation,Amsterdam,2,50
1095,Wonen Limburg Accent,Maastricht,4,110
1500,Expats. Amsterdam Rentals ,Amsterdam,2,35
1500,Expats. Amsterdam Rentals ,Amsterdam,3,69
1550,Match&Rent,Amsterdam,3,65
1400,Amsterdam Housing,Amstelveen,4,85
1750,Amsterdam Housing,Amsterdam,3,120
1325,Compass Housing Amsterdam,Amsterdam,3,68
955,P&D Housing,Tilburg,1,55
1950,Amsterdam Housing,Amstelveen,4,110
1500,Amsterdam Housing,Amstelveen,4,80
1500,Amsterdam Housing,Amsterdam,4,110
1685,Grand Apartments Amsterdam,Amsterdam,3,110
1600,HVJ Groep,Amstelveen,4,83
1050,De Bloois Vastgoed,Delft,2,35
1295,Rent2You,Rotterdam,3,75
1250,123Wonen Nijmegen,Nijmegen,5,115
995,DC Wonen,Groningen,2,31
1500,de makelaar Ella Onrust,Groningen,3,90
770,ITS Housing,Utrecht,3,30
1495,Rotsvast Breda,Breda,4,130
1975,Interhouse verhuurmakelaars Amsterdam,Amsterdam,3,80
1750,Interhouse verhuurmakelaars Amsterdam,Amsterdam,3,75
1600,Interhouse verhuurmakelaars Amsterdam,Amsterdam,3,60
1350,Yamsterdam Apartments,Amsterdam,1,40
1250,Amsterdam Rental Homes,Amsterdam,2,50
1200,Solide Verhuur,Assen,2,87
1075,RNC Wonen,Tilburg,3,90
385,RNC Wonen,Tilburg,1,16
345,RNC Wonen,Tilburg,1,14
615,RNC Wonen,Tilburg,1,19
725,RNC Wonen,Tilburg,2,25
670,RNC Wonen,Tilburg,1,22
1050,RNC Wonen,Oirschot,2,70
475,RNC Wonen,Tilburg,1,18
550,RNC Wonen,Tilburg,2,50
240,RNC Wonen,Tilburg,1,10
1175,RNC Wonen,Utrecht,2,50
625,RNC Wonen,Tilburg,1,18
1325,Compass Housing Amsterdam,Amsterdam,3,68
1550,Mac Housing,Amsterdam,3,78
750,RNC Wonen,Tilburg,2,38
1295,RNC Wonen,Eindhoven,3,95
1075,RNC Wonen,Tilburg,4,81
775,RNC Wonen,Oss,1,18
1350,RNC Wonen,Eindhoven,3,94
1150,RNC Wonen,Tilburg,3,110
1050,RNC Wonen,Tilburg,3,60
730,RNC Wonen,Tilburg,1,28
900,RNC Wonen,Schaijk,3,72
710,RNC Wonen,Tilburg,2,35
575,RNC Wonen,Tilburg,1,29
545,RNC Wonen,Tilburg,1,20
1250,RNC Wonen,Helmond,4,95
1050,RNC Wonen,Helmond,3,90
750,RNC Wonen,Tilburg,2,48
1095,RNC Wonen,Veghel,4,125
700,RNC Wonen,Tilburg,2,24
950,RNC Wonen,Tilburg,2,48
725,RNC Wonen,Tilburg,2,48
525,RNC Wonen,Oss,1,35
1295,RNC Wonen,Berlicum,5,110
525,RNC Wonen,Tilburg,1,18
995,Domica Eindhoven,Eindhoven,2,50
1495,Zuid Beheer B.V.,Eindhoven,3,98
1550,Zuid Beheer B.V.,Eindhoven,3,105
725,W&D Vastgoed,Tilburg,2,50
1439,Woonstad Rotterdam,Rotterdam,4,130
450,iRooms and Houses,Rotterdam,1,8
2750,IB Makelaars,Amsterdam,4,108
1080,VERRA Real Estate Rotterdam,Delft,3,63
2100,The Perfect House,Amsterdam,3,86
1295,VHPN,Rotterdam,3,80
