"","house_price","rental_agency","city","bedrooms","surface"
"114",755,"Stadhuis Breda","Breda",2,35
"115",1150,"RELO Wonen","Wormerveer",3,61
"116",1335,"vdpvastgoed","Katwijk",6,157
"117",595,"De Noordelijke Verhuur Makelaars","Groningen",3,29
"118",1250,"070Wonen","Den Haag",3,102
"119",1475,"Rotsvast Utrecht","Utrecht",4,90
"120",1495,"EasyMakelaars","Leiden",3,93
"121",1195,"Rotsvast Middelburg","Middelburg",5,84
"122",800,"DHVC Vastgoed","Eindhoven",2,47
"123",695,"OMNI HOUSE","Roermond",2,50
"124",995,"Groningse Panden Beheer B.V.","Groningen",2,56
"125",1250,"Nuverhuren.nl","Amsterdam",1,25
"126",1350,"Inter Immo Almere","Almere",4,86
"127",1150,"Friendly Housing","Eindhoven",2,64
"128",1150,"Valerius Rentals","Amsterdam",1,23
"129",985,"OurDomain Amsterdam Diemen","Diemen",2,47
"130",1325,"Compass Housing Amsterdam","Amsterdam",3,68
"131",845,"Max Property Rentals","Vlaardingen",4,72
"132",1763,"Interhouse verhuurmakelaars Amsterdam","Amsterdam",3,70
"133",1160,"123Wonen Tilburg","Waalwijk",3,73
"134",1500,"Amstel Housing","Amstelveen",4,110
"135",1500,"Amstel Housing","Amstelveen",4,93
"136",1500,"Amstel Housing","Amstelveen",3,85
"137",1400,"Grand Apartments Amsterdam","Amsterdam",4,100
"138",929,"Woonstad Rotterdam","Rotterdam",4,73
"139",1750,"VERRA Real Estate Rotterdam","Amsterdam",4,87
"140",721,"Maasland Relocation","Maastricht",2,19
"141",1300,"La Fontaine Makelaardij","Maastricht",3,100
"142",780,"Langezaal makelaars","Den Haag",1,30
"143",495,"BM Vastgoed","Arnhem",1,22
"144",590,"BM Vastgoed","Arnhem",1,30
"145",1325,"Brick Brokers","Hilversum",5,111
"146",725,"Brick Brokers","Hilversum",2,32
"147",1099,"Woonhuis Limburg","Maastricht",4,90
"148",1150,"Woonhuis Limburg","Landgraaf",4,105
"149",2900,"Rent a Stone","Den Haag",6,149
"150",626,"Siebbeles Vastgoed","Arnhem",1,36
"151",425,"Maxx Zwolle","Zwolle",1,20
"152",1600,"Van Huis Uit Makelaars","Amsterdam",3,95
"153",1950,"Grand Relocation","Amsterdam",3,77
"154",1300,"Grand Relocation","Amsterdam",2,50
"155",1095,"Wonen Limburg Accent","Maastricht",4,110
"156",1500,"Expats. Amsterdam Rentals ","Amsterdam",2,35
"157",1500,"Expats. Amsterdam Rentals ","Amsterdam",3,69
"158",1550,"Match&Rent","Amsterdam",3,65
"159",1400,"Amsterdam Housing","Amstelveen",4,85
"160",1750,"Amsterdam Housing","Amsterdam",3,120
"161",1325,"Compass Housing Amsterdam","Amsterdam",3,68
"162",955,"P&D Housing","Tilburg",1,55
"163",1950,"Amsterdam Housing","Amstelveen",4,110
"164",1500,"Amsterdam Housing","Amstelveen",4,80
"165",1500,"Amsterdam Housing","Amsterdam",4,110
"166",1685,"Grand Apartments Amsterdam","Amsterdam",3,110
"167",1600,"HVJ Groep","Amstelveen",4,83
"168",1050,"De Bloois Vastgoed","Delft",2,35
"169",1295,"Rent2You","Rotterdam",3,75
"170",1250,"123Wonen Nijmegen","Nijmegen",5,115
"171",995,"DC Wonen","Groningen",2,31
"172",1500,"de makelaar Ella Onrust","Groningen",3,90
"173",770,"ITS Housing","Utrecht",3,30
"174",1495,"Rotsvast Breda","Breda",4,130
"175",1975,"Interhouse verhuurmakelaars Amsterdam","Amsterdam",3,80
"176",1750,"Interhouse verhuurmakelaars Amsterdam","Amsterdam",3,75
"177",1600,"Interhouse verhuurmakelaars Amsterdam","Amsterdam",3,60
"178",1350,"Yamsterdam Apartments","Amsterdam",1,40
"179",1250,"Amsterdam Rental Homes","Amsterdam",2,50
"180",1200,"Solide Verhuur","Assen",2,87
"181",1075,"RNC Wonen","Tilburg",3,90
"182",385,"RNC Wonen","Tilburg",1,16
"183",345,"RNC Wonen","Tilburg",1,14
"184",615,"RNC Wonen","Tilburg",1,19
"185",725,"RNC Wonen","Tilburg",2,25
"186",670,"RNC Wonen","Tilburg",1,22
"187",1050,"RNC Wonen","Oirschot",2,70
"188",475,"RNC Wonen","Tilburg",1,18
"189",550,"RNC Wonen","Tilburg",2,50
"190",240,"RNC Wonen","Tilburg",1,10
"191",1175,"RNC Wonen","Utrecht",2,50
"192",625,"RNC Wonen","Tilburg",1,18
"193",1325,"Compass Housing Amsterdam","Amsterdam",3,68
"194",1550,"Mac Housing","Amsterdam",3,78
"195",750,"RNC Wonen","Tilburg",2,38
"196",1295,"RNC Wonen","Eindhoven",3,95
"197",1075,"RNC Wonen","Tilburg",4,81
"198",775,"RNC Wonen","Oss",1,18
"199",1350,"RNC Wonen","Eindhoven",3,94
"200",1150,"RNC Wonen","Tilburg",3,110
"201",1050,"RNC Wonen","Tilburg",3,60
"202",730,"RNC Wonen","Tilburg",1,28
"203",900,"RNC Wonen","Schaijk",3,72
"204",710,"RNC Wonen","Tilburg",2,35
"205",575,"RNC Wonen","Tilburg",1,29
"206",545,"RNC Wonen","Tilburg",1,20
"207",1250,"RNC Wonen","Helmond",4,95
"208",1050,"RNC Wonen","Helmond",3,90
"209",750,"RNC Wonen","Tilburg",2,48
"210",1095,"RNC Wonen","Veghel",4,125
"211",700,"RNC Wonen","Tilburg",2,24
"212",950,"RNC Wonen","Tilburg",2,48
"213",725,"RNC Wonen","Tilburg",2,48
"214",525,"RNC Wonen","Oss",1,35
"215",1295,"RNC Wonen","Berlicum",5,110
"216",525,"RNC Wonen","Tilburg",1,18
"217",995,"Domica Eindhoven","Eindhoven",2,50
"218",1495,"Zuid Beheer B.V.","Eindhoven",3,98
"219",1550,"Zuid Beheer B.V.","Eindhoven",3,105
"220",725,"W&D Vastgoed","Tilburg",2,50
"221",1439,"Woonstad Rotterdam","Rotterdam",4,130
"222",450,"iRooms and Houses","Rotterdam",1,8
"223",2750,"IB Makelaars","Amsterdam",4,108
"224",1080,"VERRA Real Estate Rotterdam","Delft",3,63
"225",2100,"The Perfect House","Amsterdam",3,86
"226",1295,"VHPN","Rotterdam",3,80
"227",2495,"VERRA Real Estate Rotterdam","Amsterdam",3,97
"228",1050,"DC Wonen","Groningen",3,90
"229",825,"ViaDaan","Roermond",4,115
"230",950,"ViaDaan","Kerkrade",6,155
"231",535,"Kracht Makelaars","Ulestraten",2,39
"232",905,"Wolters Housing","Den Haag",4,55
"233",650,"Brick Brokers","Hilversum",1,23
"234",900,"Brick Brokers","Hilversum",2,48
"235",675,"My Housing","Eindhoven",1,20
"236",2450,"Compass Housing Amsterdam","Amsterdam",3,110
"237",600,"BVwonen","Tilburg",2,35
"238",1470,"Heimstaden","Amsterdam",3,55
"239",1995,"B&S Rental Service","Utrecht",3,100
"240",391,"Maxx Zwolle","Zwolle",1,19
"241",2850,"Interhouse verhuurmakelaars Hilversum & Almere","Naarden",5,174
"242",850,"Interhouse verhuurmakelaars Rotterdam","Rotterdam",3,62
"243",950,"Interhouse verhuurmakelaars Rotterdam","Rotterdam",3,85
"244",1600,"123Wonen Amsterdam","Amsterdam",3,56
"245",1350,"Rotsvast Haarlem","Haarlem",2,54
"246",1675,"Rotsvast Eindhoven","Waalre",3,235
"247",555,"W&D Vastgoed","Tilburg",1,25
"248",1050,"My Housing","Eindhoven",2,70
