"","house_price","rental_agency","city","bedrooms","surface"
"2634",2750,"Rappange Makelaardij","Amsterdam",4,180
"2635",1195,"Rental Rotterdam","Rotterdam",4,75
"2636",1225,"Covers & Jonker Makelaars BV","Utrecht",2,44
"2637",1200,"Covers & Jonker Makelaars BV","Utrecht",1,38
"2638",1250,"Covers & Jonker Makelaars BV","Utrecht",1,36
"2639",1200,"Covers & Jonker Makelaars BV","Utrecht",2,41
"2640",1300,"Hestia Housing Holland ","Almere",5,108
"2641",1475,"Alberts & Muus Wonen","Zeist",3,90
"2642",1495,"Rental Rotterdam","Rotterdam",4,67
"2643",2300,"Makelaarshuis Amsterdam - Zaanstad","Amsterdam",4,130
"2644",1195,"At Home Vastgoed Beheer BV","Rotterdam",4,83
"2645",1600,"The Rental Agency Amsterdam","Amsterdam",2,60
"2646",1500,"Van Sonsbeeck makelaars","Arnhem",2,80
"2647",2350,"Van Sonsbeeck makelaars","Arnhem",4,147
"2648",1725,"Riva Rentals","Rotterdam",3,85
"2649",980,"Rotterdam Apartments","Rotterdam",3,55
"2650",1150,"Housing Experts","Amsterdam",2,40
"2651",1395,"Homecrew","Amsterdam",2,49
"2652",1050,"Woonhuis O/G","Bussum",2,47
"2653",1050,"La Fontaine Makelaardij","Maastricht",2,55
"2654",1650,"City Homes","Amsterdam",3,53
"2655",1495,"City Homes","Amsterdam",2,50
"2656",1225,"Expata","Den Haag",3,70
"2657",1395,"Q Makelaars","Den Haag",2,72
"2658",985,"OurDomain Amsterdam Diemen","Diemen",2,47
"2659",1390,"Dutch Brickx Real Estate Purmerend - Zaandam e.o.","Beverwijk",2,65
"2660",5500,"Comfortable Staff Housing","Amsterdam",3,181
"2661",1150,"Properbee","Rotterdam",3,65
"2662",1500,"Mijn Huis Makelaardij","Amsterdam",2,50
"2663",1675,"Mijn Huis Makelaardij","Amsterdam",2,65
"2664",1495,"Expathousing.com (Amsterdam) ","Amsterdam",2,52
"2665",1550,"Expathousing.com (Amsterdam) ","Amsterdam",2,55
"2666",1395,"Vesting Vastgoed","Voorburg",3,80
"2667",920,"Brick Vastgoed","Helmond",2,51
"2668",881,"Brick Vastgoed","Helmond",2,47
"2669",995,"Koops Makelaardij Leiden","Leiden",2,40
"2670",1075,"EasyMakelaars","Leiden",2,30
"2671",1175,"EasyMakelaars","Leiden",2,42
"2672",2250,"Comfortable Staff Housing","Amstelveen",3,90
"2673",3250,"Rotsvast Eindhoven","Eindhoven",3,136
"2674",2250,"Riva Rentals","Rotterdam",4,110
"2675",724,"NederWoon verhuurmakelaars Deventer","Almelo",4,75
"2676",1500,"ADDRESS AMSTERDAM","Diemen",3,67
"2677",1090,"Inter Immo Almere","Almere",3,50
"2678",750,"University Housing","Rotterdam",1,12
"2679",450,"University Housing","Arnhem",1,9
"2680",650,"University Housing","Rotterdam",1,12
"2681",600,"University Housing","Arnhem",1,18
"2682",865,"Rotsvast Utrecht","Utrecht",1,25
"2683",1400,"Asunaro Holland Interplan","Amstelveen",2,43
"2684",1400,"Asunaro Holland Interplan","Amstelveen",2,43
"2685",2950,"Koops Makelaardij Amsterdam","Amsterdam",4,100
"2686",875,"Van Sonsbeeck makelaars","Arnhem",3,54
"2687",850,"Groningse Panden Beheer B.V.","Leeuwarden",3,62
"2688",925,"iRooms and Houses","Beinsdorp",1,21
"2689",2100,"The Perfect House","Amsterdam",3,86
"2690",1395,"Q Makelaars","Den Haag",2,72
"2691",1450,"Rosmuller Makelaars","Amsterdam",3,60
"2692",1175,"Maastricht Rentservice BV","Maastricht",1,30
"2693",1900,"Amsterdam Housing","Amsterdam",2,55
"2694",2250,"Comfortable Staff Housing","Amstelveen",4,125
"2695",1850,"Rotsvast Eindhoven","Eindhoven",4,123
"2696",1950,"Kolpa Makelaars B.V.","Rotterdam",4,110
"2697",1650,"Interhouse verhuurmakelaars Sassenheim","Lisse",4,192
"2698",1375,"Hakkenbroek Housing Company","Amsterdam",2,58
"2699",575,"Brick Brokers","Hilversum",1,25
"2700",1800,"Jimble","Amsterdam",2,75
"2701",530,"Maxx Zwolle","Zwolle",1,25
"2702",1600,"123Wonen Amsterdam","Amsterdam",2,58
"2703",1995,"Koops Makelaardij","Haarlem",5,120
"2704",1150,"University Housing","Rotterdam",1,27
"2705",1100,"University Housing","Rotterdam",1,30
"2706",895,"Rent a Stone","Den Haag",2,61
"2707",1500,"The Housing Company","Maastricht",4,106
"2708",1495,"Graal Makelaardij","Leiden",3,120
"2709",776,"W&D Vastgoed","Tilburg",2,33
"2710",690,"123wonen Friesland","Hieslum",3,100
"2711",2900,"Dutch Housing Centre BV","Amsterdam",4,140
"2712",842,"NTC Vastgoed","Leeuwarden",4,105
"2713",1195,"BenHousing","Rotterdam",3,85
"2714",1895,"Riva Rentals","Rotterdam",3,120
"2715",1195,"Riva Rentals","Rotterdam",3,75
"2716",1375,"IJssel Wonen","Deventer",4,110
"2717",1127,"NederWoon verhuurmakelaars Arnhem","Arnhem",2,100
"2718",1995,"Koops Makelaardij","Haarlem",4,92
"2719",1175,"De Bloois Vastgoed","Rotterdam",5,103
"2720",950,"Rent Valley","Den Haag",2,44
"2721",955,"P&D Housing","Tilburg",1,55
"2722",1550,"Mac Housing","Amsterdam",3,78
"2723",1250,"Rent Valley","Den Haag",3,71
"2724",599,"Sterckwonen","Sittard",1,27
"2725",1350,"Level 5 Rental Agency","Den Haag",3,64
"2726",1350,"Stoit Groep","Waalre",2,65
"2727",1650,"Dutch Brickx Real Estate Purmerend - Zaandam e.o.","Middenmeer",5,105
"2728",2950,"Wilbrink & v.d. Vlugt Makelaars","Oegstgeest",5,161
"2729",1650,"Relocation Advisers B.V.","Amsterdam",3,75
"2730",1820,"Eefje Voogd Makelaardij","Amsterdam",3,67
"2731",2995,"Eefje Voogd Makelaardij","Amsterdam",4,100
"2732",405,"UVM","Nijmegen",1,15
"2733",360,"UVM","Nijmegen",1,17
"2734",3255,"Hello Housing","Den Haag",3,114
"2735",2996,"Hello Housing","Den Haag",3,101
"2736",1700,"Brick's Makelaardij","Breda",3,118
"2737",975,"HouseHunting Utrecht","Kamerik",1,39
"2738",1695,"HouseHunting Utrecht","Utrecht",5,108
"2739",1320,"NumberXII Exclusive Real Estate","Den Haag",3,95
"2740",1695,"A1 Executive Estate","Amstelveen",4,91
"2741",790,"De Huissleutel","Tilburg",2,32
"2742",737,"De Huissleutel","Tilburg",2,50
"2743",1695,"B&S Rental Service","Utrecht",3,84
"2744",1195,"B&S Rental Service","Utrecht",2,50
"2745",1195,"123Wonen Groningen","Groningen",3,80
"2746",948,"SMITS. Real Estate","Maastricht",2,50
"2747",1450,"BenHousing","Rotterdam",3,115
"2748",1700,"Houses4let","Amstelveen",3,80
"2749",780,"Heimstaden","Heerlen",3,77
"2750",975,"Hanne Geenen Management","Geldrop",4,100
"2751",2850,"Inxxx Rentals","Amsterdam",5,153
"2752",1155,"Interhouse verhuurmakelaars Rotterdam","Capelle aan den IJssel",3,76
"2753",1325,"Compass Housing Amsterdam","Amsterdam",3,68
"2754",1550,"Mac Housing","Amsterdam",3,78
"2755",1250,"'t Mauritshuis Makelaars","Arnhem",3,98
"2756",1150,"Vastgoed Unie Makelaardij ","Amsterdam",1,25
"2757",825,"Housing ter Veer","Son en Breugel",1,40
"2758",895,"HouseHunting Eindhoven","Valkenswaard",3,79
"2759",1445,"Grand Relocation","Amsterdam",3,100
"2760",1000,"SPiL makelaars","Haarlem",2,35
"2761",735,"De Huissleutel","Tilburg",3,45
"2762",735,"De Huissleutel","Tilburg",2,43
"2763",2100,"Dutch Housing Centre BV","Amsterdam",4,83
"2764",825,"Nationaal Grondbezit","Krimpen aan den IJssel",3,90
"2765",1550,"Rosmuller Makelaars","Amsterdam",3,60
"2766",1750,"Brick Vastgoed","Eindhoven",6,141
"2767",875,"NederWoon Verhuurmakelaars Utrecht","Voorburg",3,75
"2768",2495,"ViaDaan","Amsterdam",3,120
"2769",535,"Kracht Makelaars","Ulestraten",3,45
"2770",1300,"Perfectrent","Rotterdam",3,55
"2771",1230,"Perfectrent","Rotterdam",3,49
"2772",1300,"Perfectrent","Rotterdam",3,55
"2773",1300,"Perfectrent","Rotterdam",3,55
"2774",375,"Wonen Zuid Limburg","Maastricht",1,8
"2775",750,"123Wonen Twente","Enschede",3,68
"2776",625,"123Wonen Twente","Almelo",2,40
"2777",1095,"123Wonen Apeldoorn","Apeldoorn",3,80
"2778",1030,"123Wonen Dordrecht","Dordrecht",2,62
"2779",3200,"Eefje Voogd Makelaardij","Amsterdam",5,152
"2780",1400,"Amsterdam Housing","Amsterdam",3,61
"2781",900,"Homecrew","Leiden",2,35
"2782",1150,"Dutch Brickx Real Estate Purmerend - Zaandam e.o.","Purmerend",2,68
"2783",1400,"Level 5 Rental Agency","Den Haag",4,74
"2784",360,"Tuitman Vastgoed","Groningen",1,12
"2785",1395,"Q Makelaars","Den Haag",2,72
"2786",1168,"Q Makelaars","Den Haag",1,59
"2787",1100,"Vastgoed Unie Makelaardij ","Amsterdam",1,24
"2788",1250,"Rotsvast Breda","Breda",4,87
"2789",925,"Rent a Stone","Den Haag",3,64
"2790",1400,"Maxx Groningen","Groningen",3,61
"2791",2350,"De Haagsche Makelaar","Den Haag",6,208
"2792",2150,"Oei Housing Amsterdam - Expat Apartments","Amsterdam",3,95
"2793",1400,"Expats. Amsterdam Rentals ","Amsterdam",2,60
"2794",1750,"Expats. Amsterdam Rentals ","Amsterdam",4,130
"2795",1450,"City Housing Maastricht","Maastricht",4,62
"2796",495,"MIJN HUIS en ik","Maastricht",1,13
"2797",995,"Fransen Vastgoed","Maassluis",3,65
"2798",593,"W&D Vastgoed","Tilburg",1,23
"2799",999,"Brockhoff Makelaars","Huizen",3,70
"2800",2250,"Parker & Williams Real Estate Services","Amsterdam",3,85
"2801",1350,"Parker & Williams Real Estate Services","Amsterdam",3,50
"2802",1195,"Lightcity Housing","Eindhoven",2,66
"2803",1300,"FRIS Vastgoed Management","Almere",3,110
"2804",1050,"FRIS Vastgoed Management","Almere",3,84
"2805",1175,"FRIS Vastgoed Management","Almere",3,97
"2806",1385,"LIV Residential","Amsterdam",3,50
"2807",1399,"Huurinc Housing","Eindhoven",3,91
"2808",1650,"Amsterdam Housing","Amstelveen",3,100
"2809",2250,"123Wonen Amsterdam","Amsterdam",4,135
"2810",1250,"Dutch Brickx Real Estate Purmerend - Zaandam e.o.","De Goorn",3,86
"2811",425,"Homey Housing","Den Haag",3,9
"2812",1500,"Expats. Amsterdam Rentals ","Amsterdam",2,55
"2813",1475,"Interhouse verhuurmakelaars Breda","Breda",4,128
"2814",925,"Rental Rotterdam","Den Haag",2,51
"2815",532,"Van Gerwen Housing","Maastricht",1,17
"2816",1050,"Vlug Wonen","Enschede",5,116
"2817",1475,"Hoogveste BV","Amstelveen",1,40
"2818",935,"P&D Housing","Tilburg",2,55
"2819",1275,"Expats. Amsterdam Rentals ","Amsterdam",2,30
"2820",995,"Rent a Stone","Den Haag",4,67
"2821",2700,"De Haagsche Makelaar","Den Haag",3,107
"2822",2450,"De Haagsche Makelaar","Den Haag",3,118
"2823",895,"HouseHunting Eindhoven","Eindhoven",2,51
"2824",900,"Different Vastgoed","Uitdam",3,45
"2825",1250,"Executive Home Rentals  Amsterdam","Culemborg",4,85
"2826",3560,"Grand Prix Rentals","Valkenswaard",8,340
"2827",682,"AMfield","Valkenburg",3,65
"2828",965,"Rotsvast Gouda","Gouda",3,56
"2829",475,"Maasland Relocation","Maastricht",2,23
"2830",595,"Maasland Relocation","Maastricht",2,23
"2831",440,"Maasland Relocation","Maastricht",2,19
"2832",600,"Maasland Relocation","Maastricht",2,31
"2833",1185,"Projekthus","Den Haag",3,118
"2834",2250,"Onesta Vastgoed","Den Haag",5,135
"2835",2995,"A1 Executive Estate","Amsterdam",3,135
"2836",460,"070Wonen","Den Haag",1,15
"2837",625,"Expats. Amsterdam Rentals ","Amsterdam",1,16
"2838",1100,"Sonar appartementen","Den Haag",2,65
"2839",1250,"Fransen Vastgoed","Rotterdam",5,110
"2840",1325,"Immobilia Real Estate","Rotterdam",3,76
"2841",1650,"First Class Housing","Amstelveen",3,82
"2842",1875,"First Class Housing","Amsterdam",3,88
"2843",995,"AB&P Vaassen","Roermond",7,123
"2844",895,"OMNI HOUSE","Roermond",5,100
"2845",1250,"123Wonen Limburg","Einighausen",6,154
"2846",1400,"Amstelland Makelaars","Amsterdam",2,50
"2847",1350,"Amstel Vastgoed","Amsterdam",3,50
"2848",1250,"Vastgoed Unie Makelaardij ","Amsterdam",1,30
"2849",1350,"Hevesta Bemiddeling","Amsterdam",1,37
"2850",985,"OurDomain Amsterdam Diemen","Diemen",2,47
"2851",1650,"Estata Makelaars O.G.","Den Haag",2,55
"2852",1450,"Estata Makelaars O.G.","Den Haag",2,64
"2853",850,"Vlug Wonen","Enschede",4,61
"2854",1500,"Residential Real Estate","Amsterdam",2,50
"2855",1650,"Grand Relocation","Amsterdam",3,55
"2856",1150,"123Wonen Den Haag","Den Haag",2,60
"2857",1590,"Expat Housing Rotterdam ","Rotterdam",3,70
"2858",1650,"Riva Rentals","Rotterdam",4,81
"2859",2250,"Expats. Amsterdam Rentals ","Amsterdam",5,145
"2860",460,"Zuid Beheer B.V.","Venlo",1,19
"2861",1350,"123Wonen Haarlem","Hoofddorp",3,65
"2862",1450,"Sonar appartementen","Den Haag",3,96
"2863",722,"Karens Real Estate","Den Haag",1,30
"2864",840,"NederWoon verhuurmakelaars Deventer","Hengelo",4,96
"2865",995,"Huurinc Housing","Eindhoven",2,53
"2866",1125,"Expats. Amsterdam Rentals ","Amsterdam",1,46
"2867",1495,"Select-a-House.nl","Breda",3,90
"2868",750,"Van Der Huizen","Utrecht",1,25
"2869",536,"Duinzigt Wonen B.V.","Den Haag",1,35
"2870",1950,"Vastgoed Unie Makelaardij ","Amsterdam",2,55
"2871",995,"Van Gerwen Housing","Berg en Terblijt",5,85
"2872",1450,"Housing Totaal","Eindhoven",4,111
"2873",795,"realestate.nl ","Rotterdam",2,51
"2874",1200,"Sterckwonen","Maastricht",1,25
"2875",1750,"Peter Bruin Makelaardij","Amsterdam",2,65
"2876",4950,"Lutz Real Estate","Rotterdam",4,136
"2877",1250,"Nationaal Grondbezit","Den Haag",4,90
"2878",1450,"Amstel Makelaardij o.g.","Amstelveen",2,56
"2879",1350,"Forte Makelaars","Amstelveen",2,61
"2880",4000,"DSTRCT Amsterdam","Amsterdam",6,150
"2881",1350,"Hevesta Bemiddeling","Amsterdam",1,37
"2882",1295,"VHPN","Rotterdam",3,80
"2883",1500,"Alcoco.nl","Amstelveen",3,60
"2884",1350,"Kroon van Diest Makelaardij","Haarlem",3,63
"2885",1500,"Mar. J. Heule","Amsterdam",3,95
"2886",3000,"Dorenbos Rasch Makelaars","Hilversum",6,204
"2887",2450,"Valerius Rentals","Amsterdam",3,88
"2888",1195,"Ooms Makelaars Woningen","Rotterdam",2,52
"2889",1495,"JLG Real Estate","Amsterdam",2,62
"2890",1325,"BrinkBorgh Makelaardij","Diemen",3,62
"2891",1600,"Ouwehand v/d Meijden Makelaars","Amsterdam",2,70
"2892",1250,"Corpowonen","Rotterdam",2,62
"2893",934,"Maasland Relocation","Geleen",3,64
"2894",1500,"HB Housing ","Hoofddorp",3,70
"2895",1450,"HB Housing ","Amsterdam",2,40
"2896",1350,"HB Housing ","Hoofddorp",2,51
"2897",1200,"HB Housing ","Hoofddorp",2,35
"2898",1500,"HB Housing ","Amsterdam",2,67
"2899",1750,"HB Housing ","Diemen",5,130
"2900",650,"Prohousing","Maastricht",2,40
"2901",750,"Prohousing","Bunde",1,35
"2902",690,"Prohousing","Maastricht",2,30
"2903",1250,"Prohousing","Maastricht",3,70
"2904",995,"Prohousing","Heerlen",4,118
"2905",1200,"Prohousing","Maastricht",2,70
"2906",1300,"NEXT Beheer","Den Haag",4,88
"2907",800,"Expatdesk Nijmegen","Nijmegen",1,30
"2908",1250,"Match&Rent","Amsterdam",1,45
"2909",950,"123Wonen Eindhoven","Eindhoven",2,50
"2910",693,"Phidec Vastgoed Beheer B.V.","Heerlen",3,60
"2911",1200,"Rotterdam Apartments","Rotterdam",4,72
"2912",775,"Rotterdam Apartments","Rotterdam",1,26
"2913",1600,"Maasstad Woningverhuur","Rotterdam",3,122
"2914",1475,"Hoogveste BV","Amstelveen",1,40
"2915",1850,"Rotterdam Apartments","Rotterdam",3,116
"2916",700,"Rotterdam Apartments","Rotterdam",1,12
"2917",750,"Prevoo Vastgoed","Heerlen",3,75
"2918",1400,"The Real Estate Company","Amsterdam",1,45
"2919",925,"Bosscha Makelaardij","Weesp",1,35
"2920",799,"BVwonen","Tilburg",2,50
"2921",1600,"Residence Housing & Relocation","Eijsden",9,123
"2922",972,"Dolphijn Makelaardij","Maassluis",2,54
"2923",650,"Homecrew","Amsterdam",1,8
"2924",780,"RELO Wonen","Koog aan de Zaan",1,21
"2925",1295,"The Real Estate Company","Den Haag",3,95
"2926",1600,"RE/MAX Pro","Amsterdam",3,65
"2927",1120,"EasyMakelaars","Leiden",2,42
"2928",1895,"HouseHunting Rotterdam","Rotterdam",4,85
"2929",1750,"Huisportaal.nl","Zeist",7,135
"2930",909,"vb&t Verhuurmakelaars","Eindhoven",3,81
"2931",850,"123wonen Friesland","Leeuwarden",3,73
"2932",1750,"Home of Orange","Amsterdam",2,58
"2933",1195,"Interhouse verhuurmakelaars Sassenheim","Sassenheim",3,68
"2934",1675,"Rotsvast Bergen op Zoom","Etten-Leur",3,145
"2935",526,"Makelaarskantoor Paul Schreinemachers","Venlo",2,28
"2936",1450,"Brantjes Makelaars Zaanstad","Krommenie",3,84
"2937",1250,"Amsterdamse Maatschappij","Amsterdam",2,38
"2938",995,"StartHousing","Bunschoten-Spakenburg",2,65
"2939",2275,"Homeland Real Estate","Den Haag",6,150
"2940",1550,"Local Living","Amsterdam",3,64
"2941",925,"UVM","Doorwerth",3,95
"2942",950,"Tuitman Vastgoed","Groningen",2,55
"2943",1050,"Covers & Jonker Makelaars BV","Utrecht",2,40
"2944",1450,"Rosmuller Makelaars","Amsterdam",2,65
"2945",1350,"Hevesta Bemiddeling","Amsterdam",1,37
"2946",955,"P&D Housing","Tilburg",1,55
"2947",1050,"VGW Housing","Zeist",3,90
"2948",1250,"Kolpa Makelaars B.V.","Rotterdam",4,70
"2949",1895,"Eigen Haard","Leiden",3,98
"2950",625,"Vesting Vastgoed","Delft",1,27
"2951",1695,"VERRA Real Estate Rotterdam","Rotterdam",3,95
"2952",1350,"CITYHOP Real Estate","Amsterdam",2,55
"2953",1495,"Domica Eindhoven","Eindhoven",4,113
"2954",515,"Domica Eindhoven","Eindhoven",2,32
"2955",995,"Sonar appartementen","Den Haag",1,47
"2956",1250,"Koops Makelaardij","Velsen-Noord",3,74
"2957",1000,"Tuitman Vastgoed","Groningen",3,50
"2958",725,"EU-Makelaardij","Utrecht",1,18
"2959",860,"De Huissleutel","Tilburg",2,50
"2960",1090,"Rotsvast Groningen","Groningen",3,90
"2961",595,"Immovita","Den Haag",1,18
"2962",1395,"Rent2You","Rotterdam",3,80
"2963",1295,"Brick Vastgoed","Eindhoven",3,80
"2964",955,"Brick Vastgoed","Veldhoven",2,45
"2965",1295,"HouseHunting 't Gooi","Naarden",3,68
"2966",1495,"Centraal Makelaardij","Amsterdam",3,55
"2967",1220,"Brick Vastgoed","Veldhoven",3,70
"2968",1650,"Amsterdam Housing","Amstelveen",2,70
"2969",1550,"Amsterdam Housing","Amsterdam",2,75
"2970",1270,"Roomservice","Haarlem",2,60
"2971",775,"NederWoon verhuurmakelaars Arnhem","Arnhem",1,53
"2972",995,"CS Housing","Houten",2,30
"2973",895,"HousingXL.nl","Maastricht",1,24
"2974",1150,"Weelde Wonen","Haarlem",3,55
"2975",1025,"realestate.nl ","Rotterdam",3,79
"2976",875,"realestate.nl ","Rotterdam",2,67
"2977",575,"OurCampus Amsterdam Diemen","Diemen",1,27
"2978",985,"OurDomain Amsterdam Diemen","Diemen",2,47
"2979",1350,"Koops Makelaardij","Haarlem",3,81
"2980",1395,"Lightcity Housing","Veldhoven",3,89
"2981",712,"Ben-s.nl verhuur en beheer","Groningen",1,28
"2982",712,"Ben-s.nl verhuur en beheer","Groningen",1,28
"2983",1250,"Heimstaden","Heemstede",3,80
"2984",1695,"-sQout-","Capelle aan den IJssel",4,80
"2985",1400,"Level 5 Rental Agency","Den Haag",3,64
"2986",1417,"Level 5 Rental Agency","Den Haag",3,64
"2987",975,"Rotsvast Breda","Breda",2,60
"2988",1500,"Expatdesk Nijmegen","Nijmegen",8,220
"2989",1150,"Brick's Makelaardij","Rijen",4,110
"2990",2250,"NOORESTATE","Amsterdam",2,82
"2991",995,"Fix Vastgoed","Leuth",3,130
"2992",1400,"Van Huis Uit Makelaars","Amsterdam",2,51
"2993",1850,"Van Huis Uit Makelaars","Amsterdam",3,82
"2994",1250,"The Hague Real Estate Services","Den Haag",3,46
"2995",1000,"123Wonen Zwolle","Zwartsluis",5,120
"2996",1445,"HouseHunting 't Gooi","Hilversum",3,80
"2997",1165,"Your-House","Utrecht",2,33
"2998",1330,"VGW Housing","Utrecht",2,60
"2999",1450,"Rotsvast Delflanden","Delft",4,85
"3000",850,"070Wonen","Den Haag",2,30
"3001",1395,"Home of Orange","Amsterdam",2,90
"3002",1950,"Dutch Housing Centre BV","Amsterdam",3,68
"3003",1100,"123Wonen Haarlem","Haarlem",2,50
"3004",1750,"Immobilia Real Estate","Berkel en Rodenrijs",7,135
"3005",975,"CS Wonen","Roosendaal",3,113
"3006",975,"CS Wonen","Roosendaal",2,60
"3007",1500,"Wooncompany Den Haag","Rotterdam",4,85
"3008",1700,"MyhomeBnB Amsterdam","Amsterdam",2,60
"3009",1600,"Maasstad Woningverhuur","Rotterdam",3,122
"3010",1475,"Hoogveste BV","Amstelveen",1,40
"3011",600,"Max Suites","Den Haag",2,18
"3012",775,"Huurinc Housing","Eindhoven",1,30
"3013",825,"Rent Valley","Den Haag",2,36
"3014",1750,"Amsterdamse Maatschappij","Amsterdam",4,76
"3015",1425,"LIV Residential","Amsterdam",2,48
"3016",1500,"Urban Homies","Amsterdam",2,44
"3017",1550,"First Class Housing","Amstelveen",3,65
"3018",1850,"Allround Housing","Amsterdam",3,65
"3019",1550,"Housingsquad","Diemen",2,60
"3020",830,"Domica Venlo","Venlo",2,87
"3021",1795,"The Hague Real Estate Services","Den Haag",2,46
"3022",925,"Wolters Housing","Leidschendam",3,75
"3023",1200,"Expat Housing","Den Haag",3,68
"3024",1495,"VERRA Real Estate Rotterdam","Rotterdam",3,73
"3025",1950,"Parker & Williams Real Estate Services","Amsterdam",3,90
"3026",2450,"Zen Home Rentals","Amsterdam",4,120
"3027",1095,"Rotsvast Rotterdam","Rotterdam",2,53
"3028",995,"DC Wonen","Dalfsen",2,48
"3029",1295,"Inter Immo Almere","Almere",3,72
"3030",700,"De Huissleutel","Tilburg",1,35
"3031",1125,"Rental Rotterdam","Rotterdam",3,67
"3032",825,"BenHousing","Rotterdam",2,55
"3033",1400,"Holland Home Management","Amsterdam",2,45
"3034",1349,"Utrecht Rental Agency","Utrecht",3,62
"3035",1099,"Brockhoff Makelaars","Amstelveen",3,80
"3036",1199,"Utrecht Rental Agency","Utrecht",2,50
"3037",650,"J&G Vastgoed B.V.","Tiel",1,19
"3038",1085,"Roomservice","Haarlem",2,35
"3039",1200,"Spitman Makelaars","Arnhem",3,102
"3040",1150,"bredawonen.com","Breda",3,105
"3041",935,"P&D Housing","Tilburg",2,55
"3042",1168,"Q Makelaars","Den Haag",1,59
"3043",1400,"Rotsvast Delflanden","Delft",3,90
"3044",745,"Spitman Makelaars","Velp",2,61
"3045",432,"Camelot Vastgoedbeheer BV","Enschede",1,23
"3046",1395,"Spitman Makelaars","Arnhem",3,90
"3047",1395,"Rotsvast Hilversum","Hilversum",3,136
"3048",1500,"NEXT Beheer","Den Haag",5,107
"3049",1249,"Utrecht Rental Agency","Utrecht",2,57
"3050",822,"Housing 4 You","Maastricht",1,25
"3051",722,"Housing 4 You","Maastricht",1,18
"3052",975,"Lightcity Housing","Valkenswaard",2,50
"3053",775,"Karens Real Estate","Delft",1,33
"3054",995,"Select-a-House.nl","Breda",2,43
"3055",850,"NederWoon verhuurmakelaars Deventer","Deventer",3,69
"3056",575,"NederWoon verhuurmakelaars Deventer","Deventer",2,38
"3057",1350,"Homeland Real Estate","Den Haag",3,75
"3058",1095,"Fransen Vastgoed","Schoonhoven",5,96
"3059",850,"De Huissleutel","Tilburg",2,65
"3060",1750,"Amstelland Makelaars","Amsterdam",3,58
"3061",740,"Van Der Huizen","Breda",2,32
"3062",840,"Van Der Huizen","Nieuwegein",3,60
"3063",1450,"Housing Solutions","Spijkenisse",3,95
"3064",1695,"BenHousing","Rotterdam",4,96
"3065",1600,"Brummel & Beuk Makelaars ","Amsterdam",3,59
"3066",1000,"JM verhuur","Leiden",1,65
"3067",1500,"Raysemhousing.nl","Amsterdam",3,54
"3068",660,"HouseHunting Parkstad","Eygelshoven",6,75
"3069",4500,"Eveleens Makelaars","Amstelveen",6,285
"3070",995,"ViaDaan","Rotterdam",3,63
"3071",900,"Wonen Limburg Accent","Venray",6,130
"3072",825,"Wonen Limburg Accent","Venray",3,87
"3073",1395,"Q Makelaars","Den Haag",2,72
"3074",575,"OurCampus Amsterdam Diemen","Diemen",1,27
"3075",800,"BVwonen","Tilburg",2,60
"3076",750,"Wonen Limburg Accent","Helden",3,103
"3077",1400,"Amsterdam Homes","Amsterdam",2,50
"3078",695,"De Huissleutel","Tilburg",2,47
"3079",845,"Gusteau's Real Estate","Den Haag",2,40
"3080",980,"Interhouse verhuurmakelaars Den Haag","Den Haag",1,40
"3081",1475,"Expatdesk Nijmegen","Lent",3,84
"3082",1595,"Amsterdam Homes","Amsterdam",3,80
"3083",1075,"Hansa Makelaardij O.G","Rotterdam",2,65
"3084",1550,"Dop & Dop Consultancy","Rotterdam",2,106
"3085",1500,"Expat & Property Management","Zoetermeer",5,126
"3086",860,"Wonen Limburg Accent","Weert",3,85
"3087",1195,"Rotsvast Gouda","Alphen aan den Rijn",3,67
"3088",1695,"Koops Makelaardij Amsterdam","Amsterdam",2,65
"3089",1095,"Van Huis Uit Makelaars","Amsterdam",1,31
"3090",775,"Wonen Limburg Accent","Weert",2,62
"3091",450,"Homey Housing","Den Haag",3,10
"3092",900,"Wonen Limburg Accent","Roermond",3,90
"3093",1300,"Partner in real estate","Amstelveen",2,50
"3094",1500,"House Rent Leeuwarden","Leeuwarden",3,110
"3095",1175,"Verhuurmakelaar050","Groningen",2,60
"3096",2495,"Select-a-House.nl","Moergestel",6,421
"3097",1195,"LIV Residential","Utrecht",2,42
"3098",1195,"LIV Residential","Amsterdam",2,30
"3099",2750,"Von Poll Real Estate - Centrum","Amsterdam",6,140
"3100",1950,"Von Poll Real Estate - Centrum","Amsterdam",3,85
"3101",1450,"Inter Immo Almere","Almere",6,112
"3102",1495,"Van Laar Vastgoed","Almere",4,85
"3103",290,"Van Der Huizen","Breda",1,12
"3104",1475,"Expat & Property Management","Den Haag",3,85
"3105",1550,"Mac Housing","Amsterdam",3,78
"3106",1395,"Q Makelaars","Den Haag",2,72
"3107",600,"J.T.M.D. vastgoed beheer B.V.","Aalsmeer",1,12
"3108",1150,"Jaspers Wooncomfort","Eindhoven",2,69
"3109",895,"De Noordelijke Verhuur Makelaars","Leeuwarden",3,77
"3110",975,"De Noordelijke Verhuur Makelaars","Leeuwarden",3,62
"3111",780,"De Noordelijke Verhuur Makelaars","Leeuwarden",3,62
"3112",2500,"The Hague Real Estate Services","Den Haag",3,122
"3113",1250,"Stones Housing","Eindhoven",4,120
"3114",1695,"VERRA Real Estate","Rijswijk",3,112
